IndID,OvrTeamID,TeamMembers,TeamLevelAnalysis,Proactivity_T,SelfEfficacy_T,Extraversion,Agreeable,Conscientious,Neurotic,Open,Age,Sex,Class,Race,GPA,IntProject,Communication,Finance,MGMT_OVERALL,t1.MindfulnessTotal,Perf
87,40,6, ,4,6,6,5,4.5,3.5,5.5,19,0,1,0,3.591,3.67,4,4,95.45714286,4.61,93
89,40,6, ,4.5,6,2.5,4.5,6,3,5.5,20,1,1,0,3.531,4,4,3.67,93.21038961,5.06,93
94,40,6, ,5,7,6.5,3,6,2,5.5,20,1,1,0,3.239,4,4,3,94.47142857,4.56,93
95,40,6,1,3.5,5.75,3.5,3.5,4,2,3.5,20,1,2,0,3.534,3,4,3,94.08831169,3.89,93
104,40,6, ,4.5,6.5,5.5,6.5,6.5,3.5,5.5,19,0,1,2,3.609,4,4,4,92.23636364,4.33,93
71,41,6,1,3.25,6,4,4,5.5,3,5,19,1,1,2,3.356,4,4,4,91.04415584,4.28,94
74,41,6, ,4.5,6.25,6,6,6.5,2,6,19,0,2,2,3.42,4,4,3.67,93.78571429,5.11,94
78,41,6, ,4.75,6.5,4,6.5,7,3,5.5,19,0,2,2,3.339,4,4,3.67,91.61558442,5,94
80,41,6, ,4.25,6.5,7,4.5,7,6,6.5,19,1,1,0,3.486,3.67,4,3.33,92.92727273,4.05,94
85,41,6, ,5,6,6,3.5,5.5,3.5,5,19,0,1,0,3.585,4,4,3.67,91.54545455,4.44,94
101,41,6, ,3.5,5.75,3,4.5,7,2.5,3.5,19,1,1,0,3.403,4,4,3,97.44545455,4.39,94
76,42,5, ,4,6,3.5,4,6,3.5,4,19,1,1,0,3.476,3.33,4,3.67,92.04415584,4.83,96
77,42,5, ,3.75,6.25,3,5,5.5,3,5,19,0,1,2,3.157,3.67,4,3.67,93.9038961,4.56,96
92,42,5, ,4,6.5,6,3,4,3.5,5,19,1,1,0,2.947,3.67,4,3.33,98.8,4.28,96
97,42,5, ,4.5,6,1,6,6,4,3.5,19,1,1,0,3.586,3.67,4,4,96.65714286,5.16,96
105,42,5,1,3.5,5,4.5,5,5.5,6,2,19,0,1,0,3.322,4,4,4,95.32337662,3.94,96
106,43,6, ,4.5,6,4,6,4.5,1.5,5.5,20,1,1,0,3.283,4,4,4,92.01818182,5,100
115,43,6, ,4.25,6.75,6.5,4.5,7,2.5,6.5,19,0,1,0,3.688,4,4,3.67,96.91428571,4.95,100
120,43,6, ,4.5,5.25,4.5,5.5,6.5,2,6.5,19,0,1,0,3.462,3.33,4,3,95.42857143,4.78,100
128,43,6, ,4,5.75,4,6.5,3.5,5,7,19,1,1,0,2.892,3.33,4,3.33,97.54545455,4.95,100
131,43,6,1,3.75,6.25,5.5,5,5.5,2,5,19,1,1,0,3.671,4,4,3.33,93.81038961,4.39,100
132,43,6, ,5,7,5,7,7,2,5.5,19,0,1,0,3.413,4,4,3.33,96.05714286,5.34,100
123,44,5, ,5,7,1.5,3.5,6.5,4,3.5,19,0,1,2,3.189,4,4,3.67,94.37402597,4.05,92
129,44,5, ,4,7,4.5,6.5,6.5,2.5,4,19,0,1,0,2.899,4,4,2.33,95.5,5.55,92
130,44,5, ,4.5,6,3.5,6,6,3,5,19,1,1,2,3.063,2,4,2,85.65324675,5.06,92
138,44,5,1,3.75,5.75,2.5,5,6,5.5,6,20,1,1,2, , , , ,82.64545455,4.67,92
139,44,5, ,3.75,6.25,3.5,6,4.5,1.5,5.5,18,0,1,2, , , , ,94.74935065,5,92
68,45,6, ,4.75,4.75,2,4.5,5,6.5,5.5,19,0,1,2,3.286,3.67,4,3.33,92.88896104,5.16,94.5
108,45,6,1,3.5,6,4,6.5,6.5,5,3,19,1,1,0,2.807,2.67,4,4,96.35,4.11,94.5
118,45,6, ,4,6,3.5,4.5,5,3,4.5,19,1,1,0,2.974,4,4,3,95.05,4.5,94.5
133,45,6, ,4.25,5.5,4,5,4.5,3.5,5,19,0,1,4,3.856,4,4,4,93.02532468,3.55,94.5
134,45,6, ,4.75,5.75,6,7,6,2,5.5,20,0,1,0,3.75,3,4,4,94.84350649,5,94.5
136,45,6, ,4,6.75,7,5,6.5,1.5,6,19,1,1,0,3.709,4,4,3.33,95.60324675,5.11,94.5
110,46,6, ,4,5.75,2.5,6,7,5.5,4,20,0,1,0,3.316,3.33,4,3.33,95,3.89,94
112,46,6,1,3.25,5.5,4,6.5,3.5,4.5,4.5,19,1,1,3,3.805,4,4,4,96.61428571,4.28,94
122,46,6, ,3.75,5.75,4.5,6,6,2,5.5,19,1,1,2,3.921,4,4,4,96.91428571,4.61,94
125,46,6, ,4.75,6.75,5,4.5,5.5,1.5,6,20,1,1,2,3.561,4,4,4,94,4.39,94
127,46,6, ,4,6,4,7,5.5,2,6.5,20,0,1,4,3.713,3.67,4,3.67,97.34285714,5.28,94
135,46,6, ,4,5.5,4,4,6.5,3,4,19,1,1,0,3.621,4,4,4,95.42857143,4.44,94
107,47,5, ,5,6.5,3.5,4,6,4,6,20,0,1,0,3.418,4,4,3.67,97.34285714,5.06,93
111,47,5, ,4.75,6.25,5,6,7,2,4.5,19,1,1,0,3.331,4,4,3.33,96.45974026,5,93
113,47,5, ,4.5,6.25,4.5,5.5,7,2,5.5,19,0,1,0,3.536,3.33,4,4,93.86233766,5.34,93
117,47,5, ,3.5,5,3,5.5,6,2.5,4,19,0,1,3,3.636,4,4,3.67,88.71038961,3.5,93
124,47,5,1,3,6,4,4.5,5,3,4.5, ,1,1,0,3.799,3.33,4,3.67,91.5012987,4.72,93
114,48,6, ,4,6.75,7,4,6,5,3.5,19,0,1,0,3.275,4,4,4,96.38571429,4.39,92
116,48,6, ,5,6,6,4.5,5,2,6,19,1,1,0,3.673,4,4,3,96.81688312,4.56,92
119,48,6, ,5,7,4,6,7,1.5,4.5,19,1,1,0,3.242,3.67,4,3,95.17402597,5.44,92
121,48,6, ,4,5.5,4,5,4.5,3.5,5,20,0,1,2,3.099,2,4,3,96.35714286,4.22,92
126,48,6,1,3.5,5,4,7,7,3.5,4,19,0,1,0,3.117,3.67,4,2.33,96.74285714,4.5,92
137,48,6, ,3.5,6.25,6,6,6,4,6,19,0,1,6, , , , ,94.59090909,5.5,92
